delivery_id,date,customer,driver,vehicle,route,origin,destination,scheduled_time,actual_time,status,delay_minutes,delay_reason,distance_km,fuel_cost,delivery_cost,customer_rating
D00001,2022-07-01,XYZ Ltd,Chris Taylor,TRK002,Route E,Hobart,Brisbane,07:30,07:24,On Time,0,,37.7,56.52,251.61,
D00002,2022-07-01,Manufacturing Co,John Smith,TRK003,Route D,Darwin,Adelaide,10:45,10:53,On Time,8,,91.1,156.22,200.98,
D00003,2022-07-01,Manufacturing Co,John Smith,VAN004,Route E,Sydney,Hobart,08:30,08:39,On Time,9,,58.5,66.58,288.59,4.0
D00004,2022-07-01,Retail Chain,Tom Wilson,TRK002,Route B,Sydney,Hobart,16:15,16:06,On Time,0,,143.1,112.82,209.45,3.0
D00005,2022-07-01,XYZ Ltd,Maria Rodriguez,TRK003,Route E,Perth,Melbourne,17:30,17:41,On Time,11,,221.5,63.44,377.62,3.0
D00006,2022-07-02,Manufacturing Co,Sarah Johnson,TRK004,Route E,Darwin,Perth,10:00,10:02,On Time,2,,303.6,80.41,374.36,4.0
D00007,2022-07-02,Manufacturing Co,Maria Rodriguez,VAN003,Route E,Hobart,Darwin,09:15,09:22,On Time,7,,118.2,161.67,252.86,
D00008,2022-07-03,Auto Parts Co,Sarah Johnson,VAN003,Route D,Cairns,Adelaide,09:15,09:18,On Time,3,,437.7,143.21,103.44,5.0
D00009,2022-07-03,XYZ Ltd,Tom Wilson,VAN003,Route B,Cairns,Brisbane,15:30,15:30,On Time,0,,430.4,145.24,179.02,3.0
D00010,2022-07-04,Auto Parts Co,Lisa Davis,TRK003,Route C,Melbourne,Brisbane,17:30,17:36,On Time,6,,279.6,92.96,133.56,4.0
D00011,2022-07-04,XYZ Ltd,Sarah Johnson,VAN004,Route A,Melbourne,Melbourne,10:00,10:08,On Time,8,,305.4,154.82,149.54,5.0
D00012,2022-07-04,Manufacturing Co,David Garcia,VAN002,Route D,Cairns,Sydney,13:15,15:07,Delayed,112,Weather,130.4,35.64,106.31,5.0
D00013,2022-07-04,ABC Corp,Lisa Davis,TRK002,Route A,Darwin,Sydney,10:00,10:10,On Time,10,,243.5,64.59,245.62,5.0
D00014,2022-07-04,Metro Stores,Lisa Davis,TRK002,Route A,Hobart,Darwin,16:45,16:50,On Time,5,,205.0,90.05,318.72,5.0
D00015,2022-07-05,XYZ Ltd,Lisa Davis,TRK004,Route B,Cairns,Melbourne,07:45,08:00,On Time,15,,204.3,64.6,174.94,4.0
D00016,2022-07-05,ABC Corp,Sarah Johnson,TRK004,Route B,Hobart,Cairns,15:00,15:07,On Time,7,,229.6,143.73,370.73,3.0
D00017,2022-07-05,Manufacturing Co,David Garcia,VAN004,Route B,Perth,Adelaide,13:30,15:26,Delayed,116,Customer Issue,117.5,34.9,320.72,
D00018,2022-07-05,Food Distribution,Chris Taylor,TRK003,Route A,Sydney,Melbourne,12:00,12:05,On Time,5,,54.1,36.17,358.55,5.0
D00019,2022-07-05,Auto Parts Co,Maria Rodriguez,VAN002,Route C,Perth,Darwin,10:00,10:03,On Time,3,,126.4,80.43,301.51,4.0
D00020,2022-07-06,XYZ Ltd,Sarah Johnson,TRK004,Route E,Adelaide,Melbourne,07:45,07:53,On Time,8,,421.6,145.92,363.78,3.0
D00021,2022-07-06,Food Distribution,John Smith,VAN001,Route A,Melbourne,Adelaide,14:30,14:45,On Time,15,,74.1,41.45,265.97,5.0
D00022,2022-07-06,Manufacturing Co,Chris Taylor,VAN004,Route C,Brisbane,Sydney,10:30,10:40,On Time,10,,294.6,138.96,113.23,3.0
D00023,2022-07-06,Food Distribution,David Garcia,TRK001,Route A,Sydney,Melbourne,17:30,17:34,On Time,4,,256.9,139.67,274.75,
D00024,2022-07-06,ABC Corp,Emma Chen,TRK004,Route B,Sydney,Darwin,09:00,09:15,On Time,15,,356.5,146.36,221.91,3.0
D00025,2022-07-07,Global Logistics,David Garcia,TRK004,Route C,Melbourne,Sydney,09:15,09:34,Delayed,19,Weather,187.6,32.23,241.21,4.0
D00026,2022-07-07,Retail Chain,John Smith,TRK004,Route D,Darwin,Adelaide,12:30,12:27,On Time,0,,392.4,157.53,183.74,4.0
D00027,2022-07-07,Tech Solutions,Maria Rodriguez,VAN001,Route A,Sydney,Hobart,17:30,18:00,Delayed,30,Vehicle Issue,171.9,133.17,230.92,3.0
D00028,2022-07-07,Metro Stores,John Smith,TRK004,Route C,Hobart,Sydney,13:15,13:27,On Time,12,,428.3,151.3,286.95,3.0
D00029,2022-07-07,Metro Stores,Emma Chen,VAN003,Route C,Melbourne,Perth,18:30,18:41,On Time,11,,203.7,153.95,303.2,5.0
D00030,2022-07-07,Manufacturing Co,Tom Wilson,TRK004,Route D,Darwin,Cairns,16:30,16:20,On Time,0,,212.8,118.21,253.35,5.0
D00031,2022-07-08,Auto Parts Co,Emma Chen,TRK002,Route B,Adelaide,Perth,17:00,17:11,On Time,11,,367.8,46.89,113.86,5.0
D00032,2022-07-08,Auto Parts Co,Lisa Davis,VAN003,Route D,Hobart,Perth,08:45,08:55,On Time,10,,87.7,119.83,367.8,3.0
D00033,2022-07-08,Food Distribution,Anna Williams,TRK001,Route E,Perth,Sydney,13:15,13:27,On Time,12,,219.0,135.19,300.27,5.0
D00034,2022-07-08,Food Distribution,David Garcia,VAN004,Route B,Cairns,Cairns,12:45,12:58,On Time,13,,135.2,60.38,291.3,5.0
D00035,2022-07-08,Manufacturing Co,Lisa Davis,VAN001,Route C,Darwin,Sydney,14:15,14:07,On Time,0,,83.8,58.22,308.18,3.0
D00036,2022-07-08,Metro Stores,John Smith,TRK004,Route D,Hobart,Brisbane,13:45,13:49,On Time,4,,389.1,130.36,214.11,
D00037,2022-07-09,Food Distribution,Maria Rodriguez,TRK004,Route D,Perth,Adelaide,13:45,13:58,On Time,13,,210.2,30.92,200.84,4.0
D00038,2022-07-09,Auto Parts Co,Chris Taylor,TRK001,Route D,Brisbane,Sydney,18:15,18:09,On Time,0,,298.2,45.32,238.51,
D00039,2022-07-09,Global Logistics,David Garcia,VAN001,Route D,Adelaide,Sydney,13:30,13:30,On Time,0,,224.9,128.12,115.63,3.0
D00040,2022-07-10,Auto Parts Co,Mike Brown,TRK004,Route B,Cairns,Sydney,07:00,07:41,Delayed,41,Traffic,264.7,56.43,309.84,3.0
D00041,2022-07-10,Manufacturing Co,Sarah Johnson,TRK001,Route C,Hobart,Hobart,16:00,15:55,On Time,0,,425.1,53.77,277.63,3.0
D00042,2022-07-10,Auto Parts Co,John Smith,VAN002,Route E,Hobart,Darwin,08:30,10:02,Delayed,92,Traffic,54.3,114.42,103.8,4.0
D00043,2022-07-10,Tech Solutions,David Garcia,TRK003,Route E,Adelaide,Cairns,08:45,10:22,Delayed,97,Customer Issue,222.6,138.47,277.74,3.0
D00044,2022-07-11,Auto Parts Co,Maria Rodriguez,VAN003,Route C,Brisbane,Cairns,11:45,11:49,On Time,4,,386.7,51.55,163.64,4.0
D00045,2022-07-11,Retail Chain,Sarah Johnson,TRK004,Route D,Cairns,Perth,11:30,11:36,On Time,6,,318.5,114.2,247.25,3.0
D00046,2022-07-11,Manufacturing Co,Maria Rodriguez,VAN002,Route D,Darwin,Hobart,11:15,11:12,On Time,0,,448.6,101.3,205.54,4.0
D00047,2022-07-11,Global Logistics,Sarah Johnson,TRK003,Route B,Perth,Cairns,11:15,11:11,On Time,0,,142.5,106.59,328.06,3.0
D00048,2022-07-11,Manufacturing Co,John Smith,TRK003,Route C,Brisbane,Brisbane,10:30,10:25,On Time,0,,260.2,121.15,137.88,4.0
D00049,2022-07-12,Global Logistics,Mike Brown,TRK001,Route C,Cairns,Sydney,07:30,07:34,On Time,4,,374.4,81.1,122.22,3.0
D00050,2022-07-12,XYZ Ltd,Lisa Davis,TRK002,Route E,Hobart,Perth,09:15,09:14,On Time,0,,354.7,78.35,372.55,5.0
D00051,2022-07-12,Auto Parts Co,Sarah Johnson,TRK004,Route B,Adelaide,Sydney,13:30,13:21,On Time,0,,91.7,50.46,122.52,
D00052,2022-07-12,Manufacturing Co,Tom Wilson,VAN004,Route A,Perth,Adelaide,14:45,14:42,On Time,0,,359.8,111.38,298.35,4.0
D00053,2022-07-12,Tech Solutions,Sarah Johnson,TRK001,Route B,Adelaide,Adelaide,08:15,08:13,On Time,0,,211.6,90.27,191.23,4.0
D00054,2022-07-13,Global Logistics,Maria Rodriguez,VAN001,Route A,Sydney,Perth,14:00,14:03,On Time,3,,433.8,139.85,272.56,5.0
D00055,2022-07-13,Industrial Supply,Chris Taylor,VAN004,Route C,Melbourne,Hobart,11:00,10:55,On Time,0,,294.8,93.38,127.37,4.0
D00056,2022-07-13,Industrial Supply,Tom Wilson,VAN003,Route E,Brisbane,Cairns,12:00,12:58,Delayed,58,Customer Issue,62.4,61.07,134.78,5.0
D00057,2022-07-13,Food Distribution,Emma Chen,VAN004,Route D,Brisbane,Perth,07:45,07:41,On Time,0,,138.5,44.69,186.41,4.0
